sigma_C sigma_C_100
32.100056 53.553554
32.274292 53.653654
32.449235 53.753754
32.624889 53.853854
32.801255 53.953954
32.978335 54.054054
33.156132 54.154154
33.334648 54.254254
33.513886 54.354354
33.693847 54.454454
33.874533 54.554555
34.055948 54.654655
34.238093 54.754755
34.420970 54.854855
34.604582 54.954955
34.788931 55.055055
34.974019 55.155155
35.159443 55.255255
35.344881 55.355355
35.530332 55.455455
35.715794 55.555556
35.901266 55.655656
36.086746 55.755756
36.272234 55.855856
36.457728 55.955956
36.643227 56.056056
36.828729 56.156156
37.014234 56.256256
37.199740 56.356356
37.385245 56.456456
37.570749 56.556557
37.756250 56.656657
37.941747 56.756757
38.127238 56.856857
38.312723 56.956957
38.498199 57.057057
38.683667 57.157157
38.869124 57.257257
39.054569 57.357357
39.240001 57.457457
39.425418 57.557558
39.610820 57.657658
39.796205 57.757758
39.981571 57.857858
40.166919 57.957958
40.352245 58.058058
40.537549 58.158158
40.722830 58.258258
40.908086 58.358358
41.093316 58.458458
41.278519 58.558559
41.463694 58.658659
41.648838 58.758759
41.833952 58.858859
42.019033 58.958959
42.204080 59.059059
42.389093 59.159159
42.574069 59.259259
42.759007 59.359359
42.943907 59.459459
43.128767 59.559560
43.313585 59.659660
43.498360 59.759760
43.683091 59.859860
43.867777 59.959960
44.052416 60.060060
44.237008 60.160160
44.421550 60.260260
44.606041 60.360360
44.790480 60.460460
44.974867 60.560561
45.159199 60.660661
45.343474 60.760761
45.527693 60.860861
45.711854 60.960961
45.895954 61.061061
46.079994 61.161161
46.263971 61.261261
46.447884 61.361361
46.631733 61.461461
46.815515 61.561562
46.999229 61.661662
47.182874 61.761762
47.366449 61.861862
47.549952 61.961962
47.733383 62.062062
47.916738 62.162162
48.100018 62.262262
48.283221 62.362362
48.466346 62.462462
48.649391 62.562563
48.832355 62.662663
49.015236 62.762763
49.198034 62.862863
49.380746 62.962963
49.563372 63.063063
49.745910 63.163163
49.928359 63.263263
50.110717 63.363363
50.292984 63.463463
50.475157 63.563564
50.657235 63.663664
50.839217 63.763764
51.021102 63.863864
51.202888 63.963964
51.384574 64.064064
51.566158 64.164164
51.747639 64.264264
51.929016 64.364364
52.110287 64.464464
52.291451 64.564565
52.472506 64.664665
52.653451 64.764765
52.834285 64.864865
53.015006 64.964965
53.195613 65.065065
53.376104 65.165165
53.556478 65.265265
53.736734 65.365365
53.916870 65.465465
54.096884 65.565566
54.276776 65.665666
54.456543 65.765766
54.636185 65.865866
54.815700 65.965966
54.995086 66.066066
55.174342 66.166166
55.353466 66.266266
55.532458 66.366366
55.711316 66.466466
55.890037 66.566567
56.068621 66.666667
56.247067 66.766767
56.425372 66.866867
56.603535 66.966967
56.781555 67.067067
56.959430 67.167167
57.137160 67.267267
57.314741 67.367367
57.492173 67.467467
