sigma_C gamma_100
19.059306 2.774083
19.178081 2.770872
19.297390 2.767664
19.417235 2.764459
19.537617 2.761257
19.658539 2.758057
19.780001 2.754860
19.902006 2.751666
20.024555 2.748475
20.147650 2.745286
20.271293 2.742101
20.395486 2.738918
20.520230 2.735738
20.645527 2.732560
20.771378 2.729386
20.897786 2.726214
21.024753 2.723045
21.152279 2.719879
21.280367 2.716715
21.409018 2.713554
21.538235 2.710396
21.668019 2.707241
21.798372 2.704089
21.929296 2.700939
22.060792 2.697793
22.192862 2.694649
22.325508 2.691507
22.458733 2.688369
22.592537 2.685233
22.726922 2.682100
22.861891 2.678970
22.997445 2.675843
23.133586 2.672718
23.270316 2.669596
23.407637 2.666477
23.545550 2.663361
23.684058 2.660248
23.823162 2.657137
23.962864 2.654029
24.103167 2.650924
24.244071 2.647822
24.385579 2.644722
24.527693 2.641625
24.670415 2.638531
24.813746 2.635440
24.957688 2.632352
25.102244 2.629266
25.247415 2.626183
25.393204 2.623103
25.539611 2.620026
25.686640 2.616951
25.834291 2.613879
25.982568 2.610810
26.131471 2.607744
26.281004 2.604681
26.431167 2.601620
26.581963 2.598562
26.733394 2.595507
26.885462 2.592455
27.038169 2.589405
27.191516 2.586358
27.345506 2.583314
27.500141 2.580273
27.655423 2.577235
27.811353 2.574199
27.967935 2.571166
28.125169 2.568136
28.283059 2.565109
28.441605 2.562084
28.600810 2.559063
28.760677 2.556044
28.921206 2.553027
29.082401 2.550014
29.244263 2.547003
29.406795 2.543995
29.569998 2.540990
29.733874 2.537988
29.898426 2.534989
30.063656 2.531992
30.229566 2.528998
30.396158 2.526007
30.563434 2.523018
30.731396 2.520033
30.900047 2.517050
31.069388 2.514070
31.239421 2.511092
31.410150 2.508118
31.581576 2.505146
31.753701 2.502177
31.926527 2.499211
32.100056 2.496248
32.274292 2.493287
32.449235 2.490329
32.624889 2.487374
32.801255 2.484422
32.978335 2.481472
33.156132 2.478525
33.334648 2.475581
33.513886 2.472640
33.693847 2.469702
33.874533 2.466766
34.055948 2.463833
34.238093 2.460903
34.420970 2.457976
34.604582 2.455052
34.788931 2.452130
34.974019 2.449211
35.159443 2.446295
35.344881 2.443381
35.530332 2.440471
35.715794 2.437563
35.901266 2.434658
36.086746 2.431756
36.272234 2.428856
36.457728 2.425959
36.643227 2.423065
36.828729 2.420174
37.014234 2.417286
37.199740 2.414400
37.385245 2.411518
37.570749 2.408638
37.756250 2.405760
37.941747 2.402886
38.127238 2.400014
38.312723 2.397145
38.498199 2.394279
38.683667 2.391416
38.869124 2.388555
39.054569 2.385697
39.240001 2.382842
39.425418 2.379990
39.610820 2.377140
39.796205 2.374294
39.981571 2.371450
40.166919 2.368609
40.352245 2.365770
40.537549 2.362935
40.722830 2.360102
40.908086 2.357272
41.093316 2.354445
41.278519 2.351620
41.463694 2.348799
41.648838 2.345980
41.833952 2.343163
42.019033 2.340350
42.204080 2.337540
42.389093 2.334732
42.574069 2.331927
42.759007 2.329125
42.943907 2.326325
43.128767 2.323528
43.313585 2.320734
43.498360 2.317943
43.683091 2.315155
43.867777 2.312369
44.052416 2.309587
44.237008 2.306807
44.421550 2.304029
44.606041 2.301255
44.790480 2.298483
44.974867 2.295714
45.159199 2.292948
45.343474 2.290185
45.527693 2.287424
45.711854 2.284667
45.895954 2.281912
46.079994 2.279159
46.263971 2.276410
46.447884 2.273663
46.631733 2.270919
46.815515 2.268178
46.999229 2.265440
47.182874 2.262704
47.366449 2.259972
47.549952 2.257242
47.733383 2.254514
47.916738 2.251790
48.100018 2.249068
48.283221 2.246350
48.466346 2.243633
48.649391 2.240920
48.832355 2.238210
49.015236 2.235502
49.198034 2.232797
49.380746 2.230095
49.563372 2.227395
49.745910 2.224699
49.928359 2.222005
50.110717 2.219314
50.292984 2.216625
50.475157 2.213940
50.657235 2.211257
50.839217 2.208577
51.021102 2.205900
51.202888 2.203225
51.384574 2.200554
51.566158 2.197885
51.747639 2.195219
51.929016 2.192556
52.110287 2.189895
52.291451 2.187237
52.472506 2.184582
52.653451 2.181930
52.834285 2.179281
53.015006 2.176634
53.195613 2.173990
53.376104 2.171349
53.556478 2.168711
53.736734 2.166075
53.916870 2.163443
54.096884 2.160813
54.276776 2.158186
54.456543 2.155561
54.636185 2.152940
54.815700 2.150321
54.995086 2.147705
55.174342 2.145091
55.353466 2.142481
55.532458 2.139873
55.711316 2.137268
55.890037 2.134666
56.068621 2.132067
56.247067 2.129470
56.425372 2.126876
56.603535 2.124285
56.781555 2.121697
56.959430 2.119111
57.137160 2.116529
57.314741 2.113949
57.492173 2.111372
57.669454 2.108797
57.846583 2.106226
58.023559 2.103657
58.200378 2.101091
58.377041 2.098527
58.553546 2.095967
58.729891 2.093409
58.906074 2.090854
59.082094 2.088302
59.257950 2.085753
59.433639 2.083206
59.609161 2.080662
59.784514 2.078121
59.959696 2.075583
60.134705 2.073048
60.309540 2.070515
60.484200 2.067985
60.658683 2.065458
60.832986 2.062934
61.007110 2.060412
61.181051 2.057893
61.354809 2.055377
61.528381 2.052864
61.701767 2.050353
61.874964 2.047846
62.047971 2.045341
62.220787 2.042839
62.393409 2.040339
62.565835 2.037843
62.738065 2.035349
62.910097 2.032858
63.081928 2.030370
63.253558 2.027884
63.424984 2.025402
63.596205 2.022922
63.767220 2.020445
63.938025 2.017970
64.108621 2.015499
64.279004 2.013030
64.449174 2.010564
64.619128 2.008101
64.788865 2.005640
64.958383 2.003183
65.127680 2.000728
65.296755 1.998276
65.465606 1.995826
65.634230 1.993380
65.802627 1.990936
65.970794 1.988495
66.138730 1.986057
66.306433 1.983621
66.473901 1.981189
66.641132 1.978759
66.808124 1.976332
66.974876 1.973907
67.141385 1.971486
67.307650 1.969067
67.473670 1.966651
67.639441 1.964238
67.804962 1.961827
67.970232 1.959420
68.135249 1.957015
68.300010 1.954613
68.464513 1.952213
68.628758 1.949817
68.792741 1.947423
68.956461 1.945032
69.119916 1.942644
69.283103 1.940258
69.446022 1.937876
69.608670 1.935496
69.771045 1.933119
69.933145 1.930745
70.094969 1.928373
70.256513 1.926004
70.417776 1.923638
70.578757 1.921275
70.739452 1.918915
70.899861 1.916557
71.059980 1.914202
71.219808 1.911850
71.379343 1.909501
71.538583 1.907154
71.697525 1.904811
71.856168 1.902470
72.014509 1.900131
72.172547 1.897796
72.330278 1.895463
72.487702 1.893134
72.644815 1.890806
72.801616 1.888482
72.958103 1.886161
73.114273 1.883842
73.270124 1.881526
73.425654 1.879213
73.580860 1.876902
73.735741 1.874595
73.890295 1.872290
74.044518 1.869988
74.198409 1.867689
74.351965 1.865392
74.505184 1.863098
74.658065 1.860807
74.810603 1.858519
74.962798 1.856234
75.114647 1.853951
75.266147 1.851671
75.417297 1.849394
75.568093 1.847120
75.718533 1.844849
75.868616 1.842580
76.018338 1.840314
76.167697 1.838051
76.316691 1.835790
76.465317 1.833533
76.613573 1.831278
76.761456 1.829026
76.908964 1.826777
77.056094 1.824530
77.202844 1.822286
77.349211 1.820046
77.495193 1.817807
77.640787 1.815572
77.785991 1.813339
77.930801 1.811110
78.075216 1.808883
78.219233 1.806658
78.362848 1.804437
78.506060 1.802218
78.648866 1.800002
78.791263 1.797789
78.933248 1.795579
79.074819 1.793371
79.215973 1.791166
79.356707 1.788964
79.497019 1.786765
79.636905 1.784569
79.776363 1.782375
79.915390 1.780184
80.053983 1.777996
80.192140 1.775811
80.329857 1.773628
80.467132 1.771448
80.603962 1.769271
80.740343 1.767097
80.876274 1.764925
81.011750 1.762757
81.146770 1.760591
81.281329 1.758428
81.415426 1.756267
81.549056 1.754110
81.682218 1.751955
81.814907 1.749803
81.947121 1.747654
82.078857 1.745507
82.210112 1.743364
82.340882 1.741223
82.471165 1.739085
82.600956 1.736949
82.730254 1.734817
82.859055 1.732687
82.987355 1.730560
83.115151 1.728436
83.242440 1.726314
83.369220 1.724196
83.495485 1.722080
83.621234 1.719967
83.746462 1.717856
83.871167 1.715749
83.995345 1.713644
84.118992 1.711542
84.242106 1.709443
84.364682 1.707346
84.486717 1.705253
84.608208 1.703162
84.729151 1.701074
84.849542 1.698988
84.969379 1.696906
85.088657 1.694826
85.207372 1.692749
85.325522 1.690675
85.443102 1.688604
85.560109 1.686535
85.676539 1.684469
85.792388 1.682406
85.907652 1.680346
86.022329 1.678288
86.136413 1.676233
86.249901 1.674181
86.362789 1.672132
86.475073 1.670086
86.586750 1.668042
86.697815 1.666001
86.808264 1.663963
86.918094 1.661928
87.027300 1.659895
87.135878 1.657866
87.243825 1.655839
87.351135 1.653815
87.457806 1.651793
87.563832 1.649774
87.669209 1.647759
87.773934 1.645746
87.878001 1.643735
87.981408 1.641728
88.084148 1.639723
88.186219 1.637721
88.287615 1.635722
88.388333 1.633725
88.488488 1.631732
88.588589 1.629741
88.688689 1.627753
88.788789 1.625768
88.888889 1.623785
88.988989 1.621805
89.089089 1.619829
89.189189 1.617854
89.289289 1.615883
89.389389 1.613914
89.489489 1.611949
89.589590 1.609985
89.689690 1.608025
89.789790 1.606068
89.889890 1.604113
89.989990 1.602161
90.090090 1.600212
90.190190 1.598266
90.290290 1.596322
90.390390 1.594381
90.490490 1.592443
90.590591 1.590508
90.690691 1.588575
90.790791 1.586646
90.890891 1.584719
90.990991 1.582794
91.091091 1.580873
91.191191 1.578955
91.291291 1.577039
91.391391 1.575126
91.491491 1.573215
91.591592 1.571308
91.691692 1.569403
91.791792 1.567501
91.891892 1.565602
91.991992 1.563706
92.092092 1.561812
92.192192 1.559921
92.292292 1.558033
92.392392 1.556148
92.492492 1.554266
92.592593 1.552386
92.692693 1.550509
92.792793 1.548635
92.892893 1.546764
92.992993 1.544895
93.093093 1.543029
93.193193 1.541166
93.293293 1.539306
93.393393 1.537449
93.493493 1.535594
93.593594 1.533742
93.693694 1.531893
93.793794 1.530046
93.893894 1.528203
93.993994 1.526362
94.094094 1.524524
94.194194 1.522689
94.294294 1.520856
94.394394 1.519027
94.494494 1.517200
94.594595 1.515376
94.694695 1.513554
94.794795 1.511736
94.894895 1.509920
94.994995 1.508107
95.095095 1.506297
95.195195 1.504489
95.295295 1.502685
95.395395 1.500883
95.495495 1.499084
95.595596 1.497287
95.695696 1.495494
95.795796 1.493703
95.895896 1.491915
95.995996 1.490130
96.096096 1.488347
96.196196 1.486568
96.296296 1.484791
96.396396 1.483017
96.496496 1.481246
96.596597 1.479477
96.696697 1.477711
96.796797 1.475948
96.896897 1.474188
96.996997 1.472431
97.097097 1.470676
97.197197 1.468924
97.297297 1.467175
97.397397 1.465429
97.497497 1.463685
97.597598 1.461944
97.697698 1.460206
97.797798 1.458471
97.897898 1.456739
97.997998 1.455009
98.098098 1.453282
98.198198 1.451558
98.298298 1.449837
98.398398 1.448118
98.498498 1.446403
98.598599 1.444690
98.698699 1.442980
98.798799 1.441272
98.898899 1.439568
98.998999 1.437866
99.099099 1.436167
99.199199 1.434470
99.299299 1.432777
99.399399 1.431086
99.499499 1.429398
99.599600 1.427713
99.699700 1.426031
99.799800 1.424351
99.899900 1.422674
100.000000 1.421000
